timestamp,category,amount,is_impulsive
2024-09-15 07:15:00,Travel,1584.94,0
2024-10-04 23:24:00,Shopping,5391.18,1
2024-12-16 02:39:00,Utilities,2768.8,0
2024-12-29 06:50:00,Travel,877.93,0
2024-09-24 04:29:00,Entertainment,5809.58,1
2024-12-24 10:05:00,Health,798.1,0
2024-08-23 15:20:00,Health,2161.99,0
2024-12-21 00:27:00,Travel,266.34,0
2024-12-15 02:29:00,Shopping,2728.96,0
2024-11-27 01:22:00,Utilities,3610.94,0
2024-09-11 23:50:00,Shopping,1746.02,1
2024-09-15 16:42:00,Travel,2422.13,0
2024-08-06 05:30:00,Shopping,548.32,0
2024-08-21 13:40:00,Health,3296.71,0
2024-08-02 12:21:00,Food,657.36,0
2024-09-21 01:40:00,Shopping,3806.79,0
2024-12-18 12:52:00,Shopping,3267.92,0
2024-11-30 01:08:00,Shopping,2670.52,0
2024-09-08 19:26:00,Health,3469.32,0
2024-09-06 09:11:00,Food,476.28,0
2024-09-23 17:20:00,Shopping,3046.16,0
2024-10-05 03:54:00,Travel,3212.07,0
2024-08-19 16:18:00,Entertainment,1545.88,0
2024-08-13 10:13:00,Food,2384.2,0
2024-11-11 12:26:00,Travel,1656.49,0
2024-09-16 01:59:00,Entertainment,3880.26,0
2024-11-11 14:14:00,Entertainment,5135.12,1
2024-09-27 20:46:00,Entertainment,6019.0,1
2024-10-20 06:48:00,Entertainment,1008.52,0
2024-10-03 12:18:00,Health,2729.76,0
2024-08-21 14:26:00,Travel,3030.87,0
2024-10-15 21:55:00,Entertainment,766.83,0
2024-12-15 04:59:00,Entertainment,5580.97,1
2024-10-14 13:42:00,Entertainment,3187.18,0
2024-11-06 21:43:00,Utilities,721.74,0
2024-11-21 06:24:00,Utilities,3464.56,0
2024-10-28 00:42:00,Entertainment,6246.12,1
2024-09-19 21:42:00,Entertainment,4952.06,1
2024-10-06 21:26:00,Shopping,5589.6,1
2024-09-29 13:55:00,Health,3035.34,0
2024-08-01 03:32:00,Entertainment,4698.93,1
2024-12-12 09:43:00,Utilities,889.74,0
2024-12-09 14:59:00,Health,3962.77,0
2024-11-15 14:35:00,Shopping,2068.17,0
2024-10-13 06:47:00,Utilities,2541.31,0
2024-10-18 02:37:00,Food,3998.2,0
2024-11-15 09:23:00,Food,3848.44,0
2024-12-29 18:18:00,Utilities,2542.96,0
2024-11-10 12:50:00,Shopping,5369.64,1
2024-10-24 04:56:00,Shopping,2074.17,0
2024-11-08 13:35:00,Shopping,6341.84,1
2024-10-04 06:17:00,Health,797.45,0
2024-11-06 05:52:00,Travel,2333.39,0
2024-11-30 21:10:00,Travel,2333.91,0
2024-11-26 16:00:00,Food,2173.49,0
2024-12-05 02:21:00,Food,1386.01,0
2024-12-24 21:34:00,Health,2961.54,0
2024-12-28 10:26:00,Entertainment,4544.5,1
2024-12-29 01:25:00,Entertainment,1412.09,0
2024-12-09 07:35:00,Food,286.25,0
2024-11-21 01:44:00,Entertainment,1362.06,0
2024-09-18 03:31:00,Travel,995.44,0
2024-11-02 02:35:00,Shopping,2127.77,0
2024-09-14 22:22:00,Shopping,5496.45,1
2024-12-15 02:47:00,Health,3843.84,0
2024-09-02 04:09:00,Health,542.9,0
2024-12-10 20:24:00,Utilities,437.38,0
2024-09-29 19:38:00,Shopping,2671.19,0
2024-08-14 10:51:00,Utilities,728.32,0
2024-10-18 05:47:00,Health,1800.93,0
2024-12-12 23:59:00,Food,671.61,0
2024-08-25 07:36:00,Food,1001.27,0
2024-08-21 05:56:00,Travel,2958.71,0
2024-11-04 08:20:00,Shopping,5486.1,1
2024-11-10 00:19:00,Utilities,277.84,0
2024-08-03 09:51:00,Shopping,1189.4,0
2024-09-01 15:27:00,Utilities,1253.35,0
2024-09-11 19:43:00,Food,257.15,0
2024-10-23 01:24:00,Entertainment,5972.09,1
2024-12-19 04:44:00,Entertainment,4388.83,0
2024-10-13 23:25:00,Health,172.31,0
2024-09-28 05:33:00,Travel,2097.86,0
2024-09-24 07:41:00,Travel,3967.4,0
2024-12-24 03:27:00,Entertainment,1397.7,0
2024-08-08 06:08:00,Food,2305.69,0
2024-08-16 08:11:00,Shopping,4516.04,1
2024-09-08 00:59:00,Utilities,3080.38,0
2024-11-10 14:04:00,Health,238.84,0
2024-10-27 13:08:00,Shopping,4241.13,0
2024-08-24 11:32:00,Travel,3676.02,0
2024-12-25 15:13:00,Shopping,1858.56,0
2024-11-20 19:12:00,Health,3433.47,0
2024-10-03 05:53:00,Shopping,1201.91,0
2024-12-11 21:51:00,Health,1100.46,0
2024-12-18 02:15:00,Utilities,3676.61,0
2024-11-16 12:33:00,Shopping,3814.08,0
2024-10-04 10:49:00,Utilities,382.68,0
2024-09-18 03:50:00,Utilities,1403.34,0
2024-08-10 13:03:00,Health,215.44,0
2024-08-13 21:18:00,Entertainment,1570.48,0
2024-10-05 00:36:00,Shopping,2097.12,0
2024-11-02 03:10:00,Utilities,1251.8,0
2024-10-18 16:16:00,Entertainment,2907.9,0
2024-08-07 11:14:00,Shopping,3331.04,0
2024-11-06 00:22:00,Shopping,4375.39,0
2024-10-02 17:09:00,Entertainment,6261.99,1
2024-09-15 06:14:00,Food,183.99,0
2024-08-19 20:00:00,Entertainment,4458.9,0
2024-11-20 02:44:00,Travel,544.46,0
2024-11-17 17:56:00,Health,1542.09,0
2024-10-07 10:45:00,Travel,3093.93,0
2024-10-09 16:15:00,Entertainment,5716.28,1
2024-09-26 08:20:00,Food,3728.25,0
2024-10-18 19:39:00,Utilities,499.63,0
2024-11-22 16:01:00,Shopping,1724.72,0
2024-08-20 12:07:00,Utilities,3000.45,0
2024-12-05 22:28:00,Health,169.03,0
2024-10-22 16:15:00,Travel,3196.67,0
2024-08-28 09:25:00,Utilities,2805.3,0
2024-10-11 14:47:00,Shopping,756.41,0
2024-08-22 22:01:00,Travel,1420.11,0
2024-09-03 13:12:00,Food,2296.1,0
2024-12-29 18:01:00,Travel,3544.45,0
2024-10-22 06:13:00,Food,573.32,0
2024-08-28 00:27:00,Health,2596.64,0
2024-09-04 22:18:00,Entertainment,1527.15,1
2024-08-27 09:53:00,Shopping,5027.95,1
2024-11-07 20:06:00,Shopping,5336.77,1
2024-12-13 09:16:00,Food,1149.02,0
2024-10-10 23:07:00,Health,717.4,0
2024-08-18 08:30:00,Food,3019.39,0
2024-10-14 19:30:00,Travel,600.88,0
2024-12-07 09:53:00,Shopping,5968.47,1
