timestamp,category,amount,is_impulsive
2025-12-30 13:37:50.522161,Dining,14.94,0
2025-12-31 16:40:50.522161,Groceries,59.4,0
2025-12-31 18:59:50.522161,Entertainment,86.79,0
2026-01-01 13:16:50.522161,Dining,17.43,0
2026-01-01 22:50:50.522161,Dining,10.49,0
2026-01-02 07:58:50.522161,Groceries,103.42,0
2026-01-02 12:13:50.522161,Transport,95.75,0
2026-01-02 12:38:50.522161,Utilities,58.06,0
2026-01-02 13:13:50.522161,Transport,21.45,0
2026-01-03 11:46:50.522161,Clothing,17.57,0
2026-01-03 16:09:50.522161,Dining,5.31,0
2026-01-03 18:08:50.522161,Groceries,54.72,0
2026-01-03 19:26:50.522161,Other,22.24,0
2026-01-04 13:32:50.522161,Utilities,46.63,0
2026-01-04 15:03:50.522161,Groceries,69.17,0
2026-01-05 07:27:50.522161,Health,21.75,0
2026-01-05 09:07:50.522161,Other,141.72,0
2026-01-05 11:02:50.522161,Other,66.93,0
2026-01-05 12:39:50.522161,Other,62.16,0
2026-01-05 15:34:50.522161,Groceries,55.72,0
2026-01-06 06:37:50.522161,Other,39.52,0
2026-01-06 07:21:50.522161,Groceries,30.18,0
2026-01-06 12:04:50.522161,Other,14.16,0
2026-01-06 15:06:50.522161,Clothing,23.82,0
2026-01-06 19:46:50.522161,Clothing,27.02,0
2026-01-07 02:46:50.522161,Electronics,1092.64,1
2026-01-07 10:54:50.522161,Other,23.32,0
2026-01-07 16:54:50.522161,Entertainment,17.38,0
2026-01-08 08:19:50.522161,Clothing,71.27,0
2026-01-08 10:00:50.522161,Clothing,46.7,0
2026-01-08 10:31:50.522161,Groceries,69.01,0
2026-01-08 11:18:50.522161,Transport,17.0,0
2026-01-08 13:11:50.522161,Electronics,33.67,0
2026-01-08 19:10:50.522161,Health,184.39,0
2026-01-09 16:47:50.522161,Groceries,15.63,0
2026-01-09 18:21:50.522161,Groceries,111.47,0
2026-01-10 08:42:50.522161,Other,21.3,0
2026-01-10 08:50:50.522161,Other,37.14,0
2026-01-11 03:39:50.522161,Electronics,827.34,1
2026-01-11 08:11:50.522161,Utilities,44.59,0
2026-01-11 08:51:50.522161,Groceries,49.71,0
2026-01-11 10:50:50.522161,Health,21.29,0
2026-01-11 16:40:50.522161,Transport,10.83,0
2026-01-12 10:12:50.522161,Electronics,8.43,0
2026-01-12 14:30:50.522161,Dining,15.55,0
2026-01-12 14:38:50.522161,Other,56.17,0
2026-01-12 15:28:50.522161,Health,29.91,0
2026-01-13 00:29:50.522161,Electronics,256.66,1
2026-01-13 09:34:50.522161,Transport,57.28,0
2026-01-13 09:44:50.522161,Groceries,53.22,0
2026-01-13 15:08:50.522161,Groceries,86.85,0
2026-01-13 18:11:50.522161,Other,20.11,0
2026-01-13 19:14:50.522161,Dining,28.29,0
2026-01-14 12:04:50.522161,Clothing,41.65,0
2026-01-15 01:33:50.522161,Clothing,491.55,1
2026-01-15 15:51:50.522161,Utilities,42.76,0
2026-01-16 12:12:50.522161,Utilities,46.73,0
2026-01-16 12:45:50.522161,Other,17.89,0
2026-01-16 16:22:50.522161,Entertainment,38.01,0
2026-01-16 18:28:50.522161,Groceries,59.34,0
2026-01-16 18:30:50.522161,Other,55.23,0
2026-01-17 06:39:50.522161,Groceries,48.81,0
2026-01-17 12:06:50.522161,Clothing,9.1,0
2026-01-17 14:32:50.522161,Dining,31.08,0
2026-01-18 02:05:50.522161,Electronics,968.27,1
2026-01-18 11:12:50.522161,Groceries,64.32,0
2026-01-18 12:26:50.522161,Dining,19.73,0
2026-01-18 16:55:50.522161,Other,13.87,0
2026-01-18 18:53:50.522161,Clothing,64.97,0
